type,amountOfAttributes,executionTime
merkletree,1338,1
merkletree,1339,0
merkletree,1340,1
merkletree,1341,0
merkletree,1342,1
merkletree,1343,0
merkletree,1344,1
merkletree,1345,0
merkletree,1346,1
merkletree,1347,0
merkletree,1348,1
merkletree,1349,0
merkletree,1350,1
merkletree,1351,1
merkletree,1352,0
merkletree,1353,1
merkletree,1354,0
merkletree,1355,1
merkletree,1356,0
merkletree,1357,2
merkletree,1358,0
merkletree,1359,1
merkletree,1360,0
merkletree,1361,1
merkletree,1362,0
merkletree,1363,1
merkletree,1364,0
merkletree,1365,1
merkletree,1366,1
merkletree,1367,0
merkletree,1368,1
merkletree,1369,0
merkletree,1370,1
merkletree,1371,0
merkletree,1372,1
merkletree,1373,1
merkletree,1374,0
merkletree,1375,1
merkletree,1376,0
merkletree,1377,1
merkletree,1378,0
merkletree,1379,1
merkletree,1380,0
merkletree,1381,1
merkletree,1382,1
merkletree,1383,0
merkletree,1384,1
merkletree,1385,0
merkletree,1386,1
merkletree,1387,0
merkletree,1388,1
merkletree,1389,0
merkletree,1390,1
merkletree,1391,1
merkletree,1392,0
merkletree,1393,1
merkletree,1394,0
merkletree,1395,1
merkletree,1396,0
merkletree,1397,1
merkletree,1398,1
merkletree,1399,0
merkletree,1400,1
merkletree,1401,0
merkletree,1402,1
merkletree,1403,1
merkletree,1404,0
merkletree,1405,1
merkletree,1406,1
merkletree,1407,0
merkletree,1408,1
merkletree,1409,0
merkletree,1410,1
merkletree,1411,1
merkletree,1412,0
merkletree,1413,1
merkletree,1414,1
merkletree,1415,0
merkletree,1416,1
merkletree,1417,1
merkletree,1418,1
merkletree,1419,0
merkletree,1420,1
merkletree,1421,1
merkletree,1422,1
merkletree,1423,0
merkletree,1424,1
merkletree,1425,1
merkletree,1426,0
merkletree,1427,1
merkletree,1428,1
merkletree,1429,0
merkletree,1430,1
merkletree,1431,1
merkletree,1432,1
merkletree,1433,0
merkletree,1434,1
merkletree,1435,1
merkletree,1436,0
merkletree,1437,1
merkletree,1438,1
merkletree,1439,0
merkletree,1440,1
merkletree,1441,1
merkletree,1442,1
merkletree,1443,0
merkletree,1444,1
merkletree,1445,1
merkletree,1446,1
merkletree,1447,1
merkletree,1448,0
merkletree,1449,1
merkletree,1450,1
merkletree,1451,0
merkletree,1452,1
merkletree,1453,1
merkletree,1454,1
merkletree,1455,0
merkletree,1456,1
merkletree,1457,1
merkletree,1458,0
merkletree,1459,1
merkletree,1460,1
merkletree,1461,1
merkletree,1462,0
merkletree,1463,1
merkletree,1464,1
merkletree,1465,1
merkletree,1466,0
merkletree,1467,1
merkletree,1468,1
merkletree,1469,1
merkletree,1470,1
merkletree,1471,0
merkletree,1472,1
merkletree,1473,1
merkletree,1474,1
merkletree,1475,1
merkletree,1476,0
merkletree,1477,1
merkletree,1478,1
merkletree,1479,1
merkletree,1480,1
merkletree,1481,1
merkletree,1482,0
merkletree,1483,1
merkletree,1484,1
merkletree,1485,1
merkletree,1486,0
merkletree,1487,1
merkletree,1488,1
merkletree,1489,0
merkletree,1490,1
